SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,male,1.739255803,1.367355921,1.034628457,0.857332496,0.749736316,0.829946696,0.739572344,1.228143608,1.123851641,1.474653253,1.522835314,1.263162465,1.456669629,1.231979027,0.918554531,0.320146286,0.527629901
luzonensis,male,1.804820679,1.400365273,1.069668097,0.889301703,0.767155866,0.912222057,0.757396029,1.292256071,1.178113252,1.547774705,1.599446376,1.349471799,1.544068044,1.294245716,1.007320953,0.399673721,0.57054294
luzonensis,male,1.776265218,1.369030222,1.054995862,0.864511081,0.788875116,0.869818208,0.785329835,1.248953615,1.175801633,1.533390708,1.565257343,1.277150614,1.496929648,1.251881455,0.931457871,0.245512668,0.431363764
luzonensis,male,1.758154622,1.368844507,1.059184618,0.893761762,0.757396029,0.90579588,0.803457116,1.263872677,1.167317335,1.519827994,1.560265398,1.289142836,1.477121255,1.259832699,0.945960704,0.298853076,0.485721426
luzonensis,male,1.710963119,1.334453751,0.995635195,0.72427587,0.681241237,0.826074803,0.73239376,1.23299611,1.053078443,1.442479769,1.484299839,1.252853031,1.44870632,1.235528447,0.892094603,0.255272505,0.531478917
luzonensis,male,1.736396502,1.315970345,0.944482672,0.740362689,0.716003344,0.857332496,0.633468456,1.220108088,1.041392685,1.411619706,1.477121255,1.238046103,1.450249108,1.230448921,0.875061263,0.278753601,0.491361694
luzonensis,male,1.703291378,1.336459734,0.982271233,0.748188027,0.72427587,0.892094603,0.633468456,1.264817823,1.06069784,1.462397998,1.5132176,1.269512944,1.478566496,1.276461804,0.929418926,0.322219295,0.531478917
luzonensis,male,1.668385917,1.278753601,0.903089987,0.602059991,0.653212514,0.851258349,0.62324929,1.201397124,0.973127854,1.389166084,1.426511261,1.184691431,1.394451681,1.173186268,0.84509804,0.278753601,0.477121255
luzonensis,male,1.671172843,1.278753601,0.908485019,0.653212514,0.672097858,0.799340549,0.612783857,1.198657087,1.004321374,1.397940009,1.444044796,1.206825876,1.390935107,1.187520721,0.86332286,0.204119983,0.342422681
luzonensis,male,1.681241237,1.278753601,0.903089987,0.681241237,0.643452676,0.770852012,0.612783857,1.195899652,0.963787827,1.409933123,1.44870632,1.190331698,1.397940009,1.198657087,0.851258349,0.255272505,0.431363764
luzonensis,male,1.717670503,1.33243846,0.986771734,0.643452676,0.672097858,0.880813592,0.681241237,1.227886705,1.08278537,1.423245874,1.46686762,1.235528447,1.450249108,1.230448921,0.903089987,0.278753601,0.505149978
luzonensis,male,1.761175813,1.346352974,1.021189299,0.73239376,0.653212514,0.903089987,0.672097858,1.227886705,1.045322979,1.46834733,1.492760389,1.243038049,1.45484486,1.243038049,0.886490725,0.255272505,0.491361694
luzonensis,male,1.716837723,1.328379603,1,0.73239376,0.672097858,0.851258349,0.681241237,1.238046103,1.068185862,1.44870632,1.499687083,1.260071388,1.451786436,1.247973266,0.897627091,0.230448921,0.491361694
luzonensis,male,1.731588765,1.344392274,1.004321374,0.740362689,0.681241237,0.857332496,0.672097858,1.245512668,1.079181246,1.457881897,1.5132176,1.252853031,1.359835482,1.271841607,0.908485019,0.301029996,0.414973348
