species,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,1.692846919,1.322219295,0.963787827,0.69019608,0.69019608,0.84509804,0.698970004,1.212187604,1.012837225,1.445604203,1.495544338,1.255272505,1.428134794,1.230448921,0.86332286,0.301029996,0.51851394
luzonensis,1.695481676,1.255272505,0.919078092,0.653212514,0.602059991,0.763427994,0.653212514,1.176091259,1.004321374,1.409933123,1.42975228,1.187520721,1.385606274,1.204119983,0.812913357,0.255272505,0.462397998
luzonensis,1.680335513,1.276461804,0.929418926,0.602059991,0.612783857,0.799340549,0.681241237,1.181843588,0.991226076,1.397940009,1.440909082,1.187520721,1.390935107,1.173186268,0.886490725,0.204119983,0.462397998
luzonensis,1.643452676,1.281033367,0.939519253,0.602059991,0.612783857,0.792391689,0.62324929,1.178976947,0.982271233,1.403120521,1.432969291,1.204119983,1.376576957,1.181843588,0.84509804,0.204119983,0.431363764
luzonensis,1.677606953,1.301029996,0.954242509,0.633468456,0.643452676,0.851258349,0.672097858,1.201397124,1.012837225,1.396199347,1.440909082,1.198657087,1.382017043,1.201397124,0.851258349,0.255272505,0.477121255
luzonensis,1.669316881,1.255272505,0.913813852,0.62324929,0.602059991,0.77815125,0.643452676,1.181843588,0.968482949,1.408239965,1.442479769,1.181843588,1.399673721,1.178976947,0.838849091,0.146128036,0.414973348
luzonensis,1.63748973,1.257678575,0.913813852,0.643452676,0.591064607,0.832508913,0.643452676,1.167317335,0.944482672,1.378397901,1.409933123,1.176091259,1.354108439,1.173186268,0.806179974,0.146128036,0.431363764
luzonensis,1.648360011,1.255272505,0.919078092,0.612783857,0.602059991,0.740362689,0.643452676,1.164352856,0.959041392,1.376576957,1.421603927,1.170261715,1.361727836,1.181843588,0.832508913,0.176091259,0.380211242
luzonensis,1.63748973,1.250420002,0.924279286,0.612783857,0.633468456,0.792391689,0.602059991,1.149219113,0.959041392,1.354108439,1.399673721,1.146128036,1.36361198,1.149219113,0.826074803,0.230448921,0.301029996
luzonensis,1.698970004,1.303196057,0.949390007,0.69019608,0.662757832,0.857332496,0.716003344,1.206825876,1.021189299,1.437750563,1.475671188,1.235528447,1.419955748,1.225309282,0.851258349,0.278753601,0.431363764
luzonensis,1.800029359,1.376576957,1.053078443,0.740362689,0.755874856,0.832508913,0.73239376,1.281033367,1.096910013,1.503790683,1.542825427,1.29666519,1.514547753,1.29666519,0.968482949,0.361727836,0.62324929
luzonensis,1.712649702,1.31386722,0.968482949,0.612783857,0.62324929,0.832508913,0.716003344,1.190331698,0.963787827,1.399673721,1.45484486,1.201397124,1.404833717,1.23299611,0.838849091,0.230448921,0.51851394
luzonensis,1.787460475,1.378397901,1.037426498,0.740362689,0.748188027,0.851258349,0.698970004,1.301029996,1.075546961,1.511883361,1.542825427,1.298853076,1.521138084,1.309630167,0.973127854,0.361727836,0.591064607
luzonensis,1.683947131,1.278753601,0.963787827,0.69019608,0.633468456,0.785329835,0.633468456,1.193124598,1.008600172,1.408239965,1.457881897,1.225309282,1.436162647,1.212187604,0.857332496,0.204119983,0.462397998
luzonensis,1.754348336,1.326335861,0.977723605,0.72427587,0.770852012,0.812913357,0.662757832,1.247973266,1.053078443,1.482873584,1.521138084,1.292256071,1.50242712,1.298853076,0.944482672,0.301029996,0.556302501
luzonensis,1.82672252,1.389166084,1.064457989,0.770852012,0.763427994,0.857332496,0.748188027,1.324282455,1.1430148,1.5289167,1.568201724,1.320146286,1.542825427,1.328379603,0.995635195,0.397940009,0.633468456
luzonensis,1.773054693,1.352182518,1.012837225,0.740362689,0.73239376,0.806179974,0.681241237,1.26245109,1.071882007,1.494154594,1.521138084,1.276461804,1.485721426,1.278753601,0.963787827,0.342422681,0.568201724
luzonensis,1.824776462,1.394451681,1.071882007,0.838849091,0.740362689,0.886490725,0.698970004,1.328379603,1.149219113,1.531478917,1.575187845,1.328379603,1.534026106,1.342422681,1.012837225,0.342422681,0.579783597
luzonensis,1.726727209,1.318063335,0.977723605,0.707570176,0.69019608,0.806179974,0.69019608,1.227886705,1.025305865,1.456366033,1.492760389,1.276461804,1.472756449,1.209515015,0.897627091,0.342422681,0.505149978
luzonensis,1.778874472,1.336459734,1.025305865,0.755874856,0.73239376,0.748188027,0.643452676,1.281033367,1.096910013,1.499687083,1.537819095,1.294466226,1.499687083,1.290034611,0.949390007,0.322219295,0.51851394
luzonensis,1.793790385,1.371067862,1.029383778,0.763427994,0.716003344,0.819543936,0.72427587,1.292256071,1.120573931,1.515873844,1.557507202,1.311753861,1.50242712,1.292256071,1,0.414973348,0.556302501
luzonensis,1.774516966,1.354108439,1.017033339,0.698970004,0.707570176,0.86332286,0.672097858,1.276461804,1.075546961,1.488550717,1.525044807,1.298853076,1.492760389,1.269512944,0.973127854,0.278753601,0.579783597
everetti,1.900148561,1.480725379,1.122870923,0.869818208,0.888179494,0.931457871,0.930949031,1.405858399,1.269512944,1.639884742,1.678609417,1.412964272,1.63447727,1.420450859,1.093071306,0.440909082,0.665580991
everetti,1.893706293,1.464638559,1.126456113,0.857935265,0.877946952,0.86332286,0.876794976,1.402433346,1.215901813,1.608739919,1.648164779,1.38774566,1.600101256,1.389343311,1.064457989,0.374748346,0.658011397
everetti,1.790285164,1.357934847,1.012837225,0.838849091,0.763427994,0.77815125,0.755874856,1.290034611,1.10720997,1.537819095,1.565847819,1.315970345,1.530199698,1.389166084,0.929418926,0.322219295,0.643452676
everetti,1.859738566,1.46834733,1.123851641,0.897627091,0.880813592,0.875061263,0.924279286,1.376576957,1.123851641,1.621176282,1.649334859,1.40654018,1.622214023,1.428134794,0.903089987,0.397940009,0.579783597
everetti,1.883093359,1.45484486,1.11058971,0.892094603,0.84509804,0.857332496,0.880813592,1.378397901,1.149219113,1.645422269,1.675778342,1.423245874,1.668385917,1.444044796,0.939519253,0.447158031,0.62324929
everetti,1.861534411,1.456366033,1.113943352,0.875061263,0.851258349,0.86923172,0.903089987,1.380211242,1.136720567,1.620136055,1.649334859,1.387389826,1.615950052,1.419955748,0.934498451,0.414973348,0.612783857
everetti,1.812913357,1.382017043,1.029383778,0.838849091,0.806179974,0.785329835,0.799340549,1.301029996,1.096910013,1.551449998,1.589949601,1.340444115,1.562292864,1.338456494,0.977723605,0.361727836,0.51851394
everetti,1.810232518,1.390935107,1.068185862,0.875061263,0.799340549,0.86923172,0.819543936,1.324282455,1.093421685,1.582063363,1.618048097,1.361727836,1.572871602,1.354108439,0.968482949,0.361727836,0.531478917
everetti,1.831869774,1.434568904,1.093421685,0.875061263,0.857332496,0.857332496,0.819543936,1.334453751,1.127104798,1.572871602,1.651278014,1.374748346,1.621176282,1.361727836,0.929418926,0.431363764,0.579783597
visayan,1.760045328,1.33304403,0.941014244,0.705863712,0.72427587,0.8162413,0.726727209,1.212453961,1.106190897,1.477121255,1.543074235,1.241546481,1.453929592,1.249931757,0.781036939,-0.040958608,0.29666519
visayan,1.753889331,1.335858911,0.966141733,0.709269961,0.7084209,0.820201459,0.716837723,1.2219356,1.096214585,1.490239485,1.529430354,1.238798563,1.458788882,1.258397804,0.867467488,0.264817823,0.532754379
visayan,1.741624258,1.30427505,0.974971994,0.711807229,0.707570176,0.822821645,0.716003344,1.199755177,1.105850674,1.48029446,1.542576476,1.24674471,1.400192489,1.194236749,0.858537198,0.204119983,0.431363764
visayan,1.698970004,1.354876423,1.01494035,0.7355989,0.73239376,0.86332286,0.712649702,1.233757363,1.123524981,1.50174373,1.536053155,1.259832699,1.444044796,1.230448921,0.898176483,0.320146286,0.514547753
visayan,1.719745493,1.301029996,0.987666265,0.694605199,0.702430536,0.788875116,0.663700925,1.175801633,1.065206128,1.424228071,1.478999132,1.184975191,1.409087369,1.251881455,0.843232778,0.164352856,0.374748346
visayan,1.649432223,1.238046103,0.851869601,0.633468456,0.643452676,0.72427587,0.614897216,1.133538908,0.982271233,1.352182518,1.432327792,1.147676324,1.356025857,1.18582536,0.829946696,0.152288344,0.426511261
visayan,1.708930536,1.296445794,0.954242509,0.725911632,0.729974286,0.781036939,0.661812686,1.158362492,1.015778756,1.437116093,1.481585936,1.174641193,1.384890797,1.204119983,0.822821645,0.204119983,0.42975228
visayan,1.660675788,1.26599637,0.944482672,0.700703717,0.689308859,0.733999287,0.589949601,1.142389466,0.989449818,1.437750563,1.462397998,1.181843588,1.413969972,1.240549248,0.837588438,0.235528447,0.481442629
visayan,1.74296067,1.322219295,1.001733713,0.740362689,0.755874856,0.77815125,0.675778342,1.198657087,1.094471129,1.4448252,1.505963518,1.237543738,1.434568904,1.277150614,0.84509804,0.220108088,0.51851394
